Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:39,2018-07-18 08:43:39,0.064s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:39,2018-07-18 08:43:41,2.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:41,2018-07-18 08:43:41,0.064s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:41,2018-07-18 08:43:43,2.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:43,2018-07-18 08:43:44,0.950s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:44,2018-07-18 08:43:44,0.141s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Allowances,Chrome 67.0.3396.99,,2018-07-18 08:43:44,2018-07-18 08:44:01,17.382s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:44,2018-07-18 08:43:47,3.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:47,2018-07-18 08:43:47,0.080s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:47,2018-07-18 08:43:49,2.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:49,2018-07-18 08:43:49,0.056s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:49,2018-07-18 08:43:51,2.001s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:51,2018-07-18 08:43:57,5.576s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:57,2018-07-18 08:44:01,4.384s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Earnings Accumulators,Chrome 67.0.3396.99,,2018-07-18 08:44:01,2018-07-18 08:44:05,3.946s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:01,2018-07-18 08:44:04,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:04,2018-07-18 08:44:05,0.271s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:05,2018-07-18 08:44:05,0.433s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Hours Accumulators,Chrome 67.0.3396.99,,2018-07-18 08:44:05,2018-07-18 08:44:09,4.233s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:05,2018-07-18 08:44:08,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:08,2018-07-18 08:44:09,0.202s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:09,2018-07-18 08:44:09,0.785s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Allowance Rate Premia,Chrome 67.0.3396.99,,2018-07-18 08:44:09,2018-07-18 08:44:18,8.444s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:10,2018-07-18 08:44:15,5.002s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:15,2018-07-18 08:44:18,3.004s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:18,2018-07-18 08:44:18,0.199s,PASSED
,,,,,,
